Sylheti,English
ফেলমু,Will fall
খাইলে,Played
বাড়িত,At home
হুনলে ,If heard
যেন,As if
বল,Say
ঘামানির,Sweating
ইতা,These
ফুরা,Full
আইয়ো,Come
বৃষ্টি,Cloud
বেনিত,In the hole
পড়বায়,Will fall
কদম,Kadam
উন্দাল,Kitchen
রান্দা,Cooking
কর,Do
দিলাও,Give
হাছা,Right
ব্যাংকে,At the bank
পিছে,Behind
বুইছো,Understand
পিছ,Back
ছাড়া,Without
মত,Opinion
খোদার,God's
সোজা,Straight
হামায়,Goes in
হুনাইলে,If heard
কাড়িয়া,Took
কিরা,Swear
হইছে ,Becoming
একবারে,At once
খবিশ,Naughty
দেওয়া ,Given
খিয়াল ,Attention
ফাখাইয়া,Ripened
রইছে ,Remains
বরই,Baor
ফুটফুটে ,Lively
ছাফার,Printed
কামিজ,Kameez
মুল্লা,Maulana
ফারবন,Festival
বালা খরা,Benefit
উফকার,Way
বাছাইবো,Will save
তুকাথুকি,Searching
বানাইছোস,Made
যারা,Who
ডাখ,Call
ওয়াল'র,Wall’s
মালিকরে,Owner
বাঁচাইতে ,To live
ডাখাডাখি,Calling
দেইন,Gives
ছেষের,Last
বানদিমু,Will bind
পাটানি,To send
পিয়াসয়,Thirsty
পিয়াস,Thirst
তৈয়ার খরলে,Made
খাটিয়া,Cut
ফাগলের,Mad
সরমে,In shame
বেহায়া,Shameless
সুগন্ধে,In fragrance
বাছায়,Saves
বাটা,Bata
পতা,In the morning
ছেষে,Last
ফিকরা,Ant
ডাকিয়া ,Called
মামা ,Uncle
বাবা,Father
বর বাই,Older brother
বইন,Sister
আছইন,Are
যাওগি,Go
বাড়ি,Home
আছইননি,Are
কোনানো,Where
আফনার,Yours
তোমার,Your
বুজতে ফারা,Feeling
কররাম,I feel
পড়ো,Read
ফর্,Light
আনদাইর,Blind
খানি ,Food
ছাল-ছলন,Use
অইব্বাস,Habit
নি,No
স্কুলো,At school
যাইরাম,Go
যাইমু,Will go
গত খাইল,Yesterday
ওল্দি,Yellow
ভাত,Rice
খাইলাইছি,Ate
সে,He
টিভি,Watching TV
দেখের,He
সে,Riding a bicycle
সাইকেলো,Playing
চড়ের,Game
খেলছে ,They
খেলা,Lemon
যুগ,Goat
লেম্বু,Chicken
বখরি,Rooster
মুরগি,Behavior
মুরোগ ,Me
হাবভাব ,Money
মই,Bridge
বা,Money
সাঁকো,Bridge
বিয়ান,Morning
হাইঞ্জাবালা,Evening
ভালা,Good
ছাখরি,Job
ঠাডা,Thunder
উবাও ,Stand
দক্ষিণ,South
মাইর ,Argument
গরুঘর ,Cow shed
মুরগিরঘর,Chicken coop
উন্দাল,Kitchen
লেফন্টি,Toilet
ফাগল,Mad
আত্তি,Elephant
মছিদ,Mosque
আবর,Fence
ধেড়েশ,Okra
আকাশ,Sky
বৃষ্টি,Cloud
হাতার ,Swimming
ভর্তা,Mashed
মাতু,Grapefruit
খাইলকু,Tomorrow
তুই,You (informal)
আফনে,You (formal)
হাছারকুর,Real
বেখায়দা,Rude
কলম,Pen
গম,Wheat
চাউল ,Rice
পুয়াফুড়িন ,Boys and girls
খানি দানি ,Food
জুস্না,Moonlight
বিষুদবার ,Thursday
শুক্কুরবার,Friday
ভাই,Brother
ফেরত,Bad
বেদনা,Pain
কাঠল,Jackfruit
খমলা,Orange
আজকো ,Today
কালকো,Tomorrow
আরো থুরা,A little more
বৈশাখ,Boishakh (Bengali month)
জেট,Joishtho (Bengali month)
আড়,Asharh (Bengali month)
শ্রাবণ,Shravan (Bengali month)
ভাদো,Bhadro (Bengali month)
আশ্বিন,Ashwin (Bengali month)
অগ্রহায়ণ,Agrahayan (Bengali month)
ফুষ,Poush (Bengali month)
মাঘ,Magh (Bengali month)
ফাল্গুন,Falgun (Bengali month)
ছৈত,Chaitra (Bengali month)
দিন,Day
রাস্তা,Road
ঘাট ,Ghat (riverbank)
ফ্যান ,Fan
নাইকল,Coconut
মাত,Word
ফরু ,Day before yesterday
আজকো,Today
কালকু,Tomorrow
অইলো,That
অইলো,That
খাগজ,Paper
কলম,Pen
বাথরুম,Bathroom
গাং ,River
খাটল ,Jackfruit
গাউ,Area
আখল,Cleverness
গুরুস্থান,Grave
শুধু,Empty
বাকী ,Rest
আওয়াজ*,Sound
আয়না,Mirror
চাকরি,Job
জাগা,Place
দোকান,Shop
লেচু ,Lychee
লুয়া,Nail
ফিতা,Tape
গোতাম,Button
সাবন,Soap
কয়ফল ,Papaya
বুক,Chest
ভিতর,Inside
দিছইন ,Gave
ওউ ,This
অতার লাগি,For this reason
ওখান ,Here
যাইতে ,To go
কাম,Work
চাকরি,Job
বিয়ানবালা,Morning
হাইঞ্জাবালা,Evening
কইছি ,Saying
থোরা,Less
টমেটু,Tomato
শিরা,Gravy
মানষে,People
ইছা,Shrimp
হুকইনর,Dried fish
শফরি ,Guava
দিমু,Will give
দেখছত,Have seen
একমাত্র,Only
হাসবায়,Will laugh
খাইমু,Will eat
যাইমু,Will go
 আমরার,Our
যাইবো,Will go
নাইকা,Heroine
কিগুইম,Who
আফনার,Your
আও,Come
সামনে,In front
পিছে,Behind
উপরে,Above
জন্য ,For
হক্কল,Everyone
হাত,Hand
টেং ,Leg
কান ,Ear
ফাখা,Mouth
ফজর,Fajr (morning prayer)
দুপুর,Noon
মাগরিব,Maghrib (evening prayer)
তরকারি,Curry
মজা,Tasty
ময়না,Myna (bird)
মেকুর,Cat
হিয়াল,Fox
আপেল,Apple
আঙ্গুর ,Grapes
মিটা,Sweet
ফড়া,Study
কমপিলিট,Complete
হইছে ,Has been
আজকো,Today
স্কুলো,At school
আনতাম,Will bring
আম্মাকে,To mom
জিগানি,Ask
খর,Do
খাই,Eat
খেলি,Play
পড়রাম,Study
পড়মু,Will study
খবর,News
খেলা,Game
কররাম,Do
পড় ,Read
কোন,Which
চাঁদপুর,Chandpur
যাও,Go
রিক্সা,Rickshaw
করে,By
আইমু,Will come
আরিফ,Arif
বয়স,Age
কত,How much
খর ,Do
কাল,Tomorrow
বর্ষাকাল,Monsoon
কালকো,Tomorrow (again)
কুত্তা,Dog
কাক,Crow
খলস ,Pitcher
পারো,Pigeon
বেড়ানিত ,To visit
গেছি,Go
ছল ,Let’s go
যাও,Go
কার,Whose
লগে,With
বেমার,Sick
বাদে ,Later
নয়া,New
বাইত ,Vomit
খানি ,Eating
এখটা,One
ওখানো,Here
ঘুষা,Anger
করছি,Have done
অবশ্যই,Definitely
খাগজ,Paper
সাপ,Snake
রূফা ,Silver
চরবি ,Fat
সবতা,All
শ্রাবণ ,Shravan (month)
উরি,Bean
শব্দ,Sound
লেংগুর ,Tail
যখন,When
বেটি,Woman
সহাল,Dawn
বিটা ,Homestead
ভয়,Fear
বৃষ্টি,Rain
বাইর,Outside
বাড়িয়ালা ,Landlord
বাসাত,Settled
ফাগুন,Phagun (month)
্পুছা,Question
শিয়ানা,Adult
প্রিয়,Dear
হুদাও ,Useless
ঠাডা,Thunderstorm
বড়,Big
বান্দর ,Monkey
খালুর,Uncle (maternal)
খালু,Uncle
ষিখারী ,Hunter
শিখারীর ,Hunter’s
লইয়া ,With
ষিখারী ,Hunting
সুখে ,Happily
জোড় ,Pair/Twin
কারবারি ,Businessman
বড়,Big (again)
খাইও ,Eat
বরফোর ,Ice
বুরি ,Old lady
ফুটা ,Bindi (forehead decoration)
লাডি,Stick
বেয়াদপ,Rude
টিফাইয়া ,Press
জুগওর ,Era
ফালাইতাম ,Used to throw
ঐতও ,Was
হইতে,To be
এট্টুন,Tiny
খালি ,Empty
মতলব ,Purpose
ছোট,Small
ঘিলুত ,Brain
অঙ্গুইল,Finger
ফানো'র ,Betel leaf’s
ফান ,Betel
ফুয়াইলে ,After dawn
লাগবো ,Will need
আখল,Wisdom
হেরান,Tired
গোষ্ঠী ,Group
কুমতলব ,Evil mind
ফারো ,Can
সুখী,Happy
গুফর ,Dung
মত ,Like
তাড়াতাড়ি,Quickly
পারবায়,Will you be able
করবায়,Will do
জানতাম ,To know
বানানীর ,Making
দিবার ,To give
লেকিয়া  ,By writing
গেলো,Went
লেখা ,Writing
পানিতে,In water
উপরে,On top
মিটা,Sweet
ফার  অইয়া ,Beyond
বাতাস,Air
ফার ,Cross
বাতাসের,Of the air
রুফে ,As a form
জানোয়ারকে,Animal
রুফের ,Beauty
কুশি ,Happy
ফারে,Can
ফারে ,Matter
বিয়াপার ,Group
গুরুপর ,Through
গেছিল,Went
বাজারে,In the market
মাইদ্দমে ,If you can
মরবার,To hit
আইছো,Came
আইচ্ছা ,Okay
ফারলে ,Curtain
ফর্দা ,Law
আইচছ,Came
ঠাণ্ডা,Cold
বাক্কা সময় ,Long time
গেলাম,Went
রসাইল ,Juicy
অই ,Become
বেঙ্গা,Problem
বেঙ্গায়,In trouble
ফুটকিত ,Hip
জা ,That
ময়লা,Dirty
কামলা,Servant
ফেরী,Ferry
কামলারে,To the servant
থামে,Stops
গেলে ,Went
গিবত,Bad reputation
বন্ধু,Friend
লুয়া,Nail
গারী ,Thick
বেটা,Male
বড়া,Complete
বড়া,Full
ফুষ,Poush (month)
কীরা ,Promise
বদলা লওয়া ,Revenge
দুপুর,Noon
ফিছলা ,Slippery
ফিছলা ,Slipped
তিসনা ,Thirst
পারমু,Will be able
ফইর ,Feather
ভাগা ,Runaway
ভাগছে ,Ran away
ফরজন্ত ,Until
ফাখয়া ,Ripe
তেল ছোঁড়া ,Cockroach
পরিস্থিতি,Situation
পাঁচ,Five
পাঁচটা,Five o'clock
পাখি,Bird
ফগল ,Crazy
পানি,Water
লেফন্টি,Toilet
পতাকা,Flag
দম ,Breath
পরশু,Day after tomorrow
লামাত ,Below
নাছ্তা,Dance
গীবত,Slander
বেহায়া,Shameless
উপায় দাতা,Advisor
উপায়,Advice
নয়া,New
নয়,No
নেও,Take
খবিছ,Naughty
শণদয় ,Doubt
খর্যও ,Borrow
ভুকা,Hungry
নাইকল,Coconut
দেশলাই/মেছ ,Matchstick
দুই,Two
দুইটা,Two o'clock
দুটো,Both
উবানি,Stand
দিমু ,Will give
দিমু  না,Will not give
শণদয় ,Doubt
দশটা,Ten o'clock
উবা,Wait
উবাও,Stand still
থাকমু ,Will stay
থাকি,From
ফালখা,Adopt
তাইন,He
তুফান,Storm
ফাইজলামি ,Joke
এর্বাদে,Then
তিন,Three
তিনটা,Three o'clock
চুকা,Sour
টাখ,Bald
টেবিল,Table
এনডা,Egg
ডুফ,Dive
জুস্না,Moonlight
মাইর,Quarrel
দরবারি ,Quarrelsome
তুফান,Storm
জুস্না,Moonlight
জায়নামাজ ,Prayer mat
জিফ্রা,Tongue
মুরইব্বি,Jyestha (month)
ছয়,Six
বখরি,Goat
পানি ,Water
চারটা,Four o'clock
উন্দুর*,Gecko
ছৈত,Chaitra (month)
উছন্টও,Restless
চট্টগ্রাম,Chattogram
ছান,Moon
গিরগিটি ,Lizard
গেছে,Has gone
গরধনা,Neck
গলা,Throat
গাছ,Tree
গভীর,Deep
গেছে ,Wheat
গর্ম,Summer
তুকানি,Search
খালা,Aunt
খুশি,Happy
গম,Date (fruit)
গত খাইল,Yesterday
খেজুর ,Smell
ভুকা,Hungry
গন্দ,Waist
খমর,Embrace
হেরান,Tired
আইঞ্জা-আইঞ্জি,Moment
ফেটোবুক,Hunger
পালং,Bed
সময় ,Fog
কুয়া,Wrestler
কেউ,Someone
বউক্কা,Sit
বও ,Sit down
মেনত,Pain
খেখরা,Crab
গিবত,Bad reputation
রামাই,Bean
বও,Sit
বাসাত,Sit down
বহুত,Many
খায় ,Eats
মত,Sit
ভইস,Buffalo
আজাব**,Like
লামাত,Seems
মেরুদণ্ড ,Epidemic
মাকড়,Spider
মাঘ,Magh (month)
মাটি,Soil
ফাখা,Mouth
মুড়ি,Puffed rice
মুরগী,Chicken
সাজা,Floor
করছি,Did
লুব**,Spine
কুটুম,Guest
ফতিজ্ঞা ,Pain
রকম,Kind
রক্ত,Blood
রাইক্ষস,Demon
রানরা,Cooking
ছেলি,Firewood
টাউনি,Tail
শিশির ,Greed
শক্ত,Strong
শক্তি,Power
 হুকনা,Oath
শব্দ,Sound
হৌর,Father-in-law
ডেখা,Urban
শালিক,Mynah bird
হরি,Mother-in-law
শিশির ,Dew
ঠাণ্ডাকাল,Winter
 হুকনা,Dry
খালি,Only
ডেখা,Bull
শব,All
হখল সময়,Always
সমুদ্র,Sea
চরবি,Fat
সমুদ্র,Ocean
হাত,Seven
সামনে,Front
সিদ্দ,Boiled
চরবি,Fat
সুগন্ধ,Fragrance
মজা,Delicious
সুরুজ,Sun
হবায়দি,That way
সুজা,Straight
সফনো,Dream
স্বভাব,Nature
হুনার,Goldsmith
স্বাদ,Taste
খম মাতরা,Tasteless
হাসি,Smile
আখতা,Suddenly
জানে মারা,Murder
ন অইব ,Will not
আটু ,Knee
আরাইচইন,Lost
বাইর,Outside
আসসালামু ওয়ালাইকুম ,Hey
ফতিজ্ঞা,Oath
কুটুম ,Relative
আলমারি,Wardrobe
ফাতারে,Across
আট,Eight
সারথফর,Self-centered
বাদা,Garbage
আইরাম,Coming
আইর,Coming
উন্দুর,Mouse
ইচ্ছা,Desire
ইচ্ছা শক্তি,Willpower
ইংসা,Jealousy
তাইন,He
এলকু ,Now
জিনিসপত্র *,Ingredient
খরজো,Loan
অখন,Right now
অততা,So many
ওতখান,This much
ওবায়দি,This way
এবং,And
এমনেউ,Like this
আইছে,Has come
ওনো,There
ওনো,There
কবুতর,Pigeon
ফুড়ি,Girl
কবিতা,Poem
এরে,Hey
ওবায়দি,That way
খতখান,How much
খফাল,Forehead
কাঁটা,Thorn
কাউ্উয়া,Crow
খাগজ,Paper
জিকানি,Ask question
চাকরী,Job
খটা,Squirrel
খামড়,Bite
কিগু,Who
জুনাকি,Firefly
আইঞ্জা আইঞ্জি,Embrace
 প্রাপ্তবয়স্ক,Adult
 অতিরিক্ত,Excess
খেনে,Why
খেনে,Why
কেউ,Someone
তুকানি,Search
ফেটোবুক,Hunger
গরমকাল ,Summer
ভুকা,Hungry
গীবত,Gossip
চারটা,Four o'clock
চাউল,Rice
উন্দুর,Gecko
গেছে,Has gone
জুস্না,Moonlight
তুফান,Storm
ঝামেলা,Trouble
ছৈত,Chaitra (month)
ছোটো মত,Petite
বাইচ্চামি,Childishness
টেবিল,Table
ডুফ,Dive
তরকারি,Curry
তারারে,Their
তামশা,Joke
এর্বাদে,Then
তিনটা,Three o'clock
পিয়াস,Thirst
তেঁতুল,Tamarind
তেল ছোঁড়া ,Cockroach
থাকবো,Will stay
দিলাও,Give
উবা,Wait
উবাও,Wait (formal)
উবানি,Stand
উবানি,Standing
দিমু,Will give
দিমু না,Won't give
দিয়াশলাই,Matchstick
মাদান,Noon
দুপুর,Noon
খবিছ,Naughty
নিচে,Below
দ্বিধা,Doubt
গীবত,Slander
বেহায়া,Shameless
লেখা ফড়া,Study
পতাকা,Flag
পাহা,Ripe
পাঁচটা,Five o'clock
এনডা,Egg
পাখি,Bird
পালিয়েছে,Has fled
পারবো,Will be able
পিছলা,Slipped
পিপাসা,Thirst
পালক,Feather
পেপে,Papaya
পুরু,Thick
বেটা,Male
প্রতিশোধ,Revenge
প্রিয়,Dear
হকির ,Beggar
ফালতু,Useless
ফিঙ্গে,Drongo
গিবত,Bad reputation
ঠাডা,Thunderstorm
বড়,Big
বন্ধু,Friend
বন্যা,Flood
রামাই,Bean
বাইরে,Outside
বাড়িআলা,Landlord
বাতাস,Air
বাঙ্গইন,Eggplant
বিয়াক্কল,Fool
আচরণ,Behavior
ডর,Fear
ভাদো,Bhadra (month)
ভিডা,Homestead
ডরালোক,Coward
শফরি,Guava
আখ,Sugarcane
গাব,Persimmon
খলা ,Banana
লাডি,Stick
মাঝে,Among
ভালা,Good
যে,That
হাতপাহা,Hand fan
হুদা,Unnecessary
গরীব,Poor
এঁটো,Leftover
কুরিয়া,Lazy
লবণহীন,Saltless
ফাহা,Empty
এলোমেলো,Messy
এলোমেলো,Messy
ঝুল,Soot
ভাগ্যহীন,Unlucky
হুরইন,Broom
আঘা,Toilet
টুপি,Cap
ভাইগ্গ ,Luck
কৈন্না,Daughter
পুয়া,Son
ফুতারা ,Grandchild
পুয়া,Son
মাঝে,Among
গরিফ,Poor
ফইশেঅলা,Rich
থালা,Plate
খট্রা ,Bowl
পকেট,Pocket
অল্প,Few
আকাশ,Sky
নামা,Descend
কোকিল,Cuckoo
ভিতর,Inside
পেরেম,Love
দুনিয়া,World
ফুলকপি,Cauliflower
টমেটু,Tomato
খিরা,Cucumber
মিটা,Sweet
জান্নাত ,Heaven
লাগছে,Felt
ফালাইসে,Threw
টিয়া,Parrot
চড়ানো,Riding
রাখাল,Shepherd
আচরণ,Usage
আচরনে,In usage
ফুয়ার,Boy's
রাখালের,Shepherd's
নাই,
কাটা,Cut
কাটে,Cuts
উল্টা,Opposite
সহজে,Easily
ধাক্কাত,By push
সহ্য,Bear
জোয়ান,Young man / Man
পাইছি,Getting
খাইছো,Have eaten
খাওনও,Feed
ফুটবলে,Football
কার,Whose
ফেখয়,Mud
কইলজার,Heart
নিজেরে,Himself
দাঁতে ,Teeth
নিজে,Self
ধরবার,Of holding
জাত,Kind
ওনো,There
খাইলকু,So
তেল ছোঁড়া ,Cockroach's
নিচে,Below
খাওয়ার,Eating
খাওয়া,Food
নিজের,Own
সামনে,In front
রাখমু,Will keep
রাখমু,Will keep
সারসি,Taking
লগে,With
মুরা,Death
ছাগল,Goat
কিন্তু,But
কিন্তু,But
হাছা,Truth
দালান,Building
বাস ,Bus
ট্রাক ,Truck
তরকারি ,Curry
শিরা,Gravy
কোটা,Room
ছেবা,Shadow
ছেবা,Shade
তাইন,He
দাঁড় কাক ,Crow
মোরগ ,Rooster
চড়ুই ,Sparrow
দোয়েল ,Magpie
লেজনাচানি ,Tail-wagger
বুলবুল ,Bulbul
টুনটুনি ,Warbler
টিঁয়া ,Parrot
ফিঙ্গে ,Drongo
পারো,Pigeon
ওলাখান,This way
পাায়রা,Pigeon
ঘুঘু ,Dove
ডাহুক ,Moorhen
ডাহুক ,Moorhen
বক ,Heron
পানকৌড়ি ,Cormorant
ময়ূর ,Peacock
ময়ূর ,Peacock
কৃষক  ,Farmer
জেলে ,Fisherman
কও,Says
তারাতাড়ি,Quickly
এরে,Him
এরে,To him
প্রস্থ,Width
করো,Does
রাখাল,Shepherd
আম্মু,Mother
দিয়া,By
আয়,Come
আওয়াত,Coming
যাওয়াত,Going
থাকবো,Will stay
মাঝে,Among
টোখাই,Beggar
ধান,Paddy
বিয়াক্কল,Fool
ফাল্লাফাল্লি,Jumping
লাড়াচাড়া,Moving
ভাগের,Escaping
পুতুল ,Doll
বনিতে,Initially
কান্দাত,Near
পৌঁছে,Reach
ভাষাটা,Language
আশা,Hope
করছি,Doing
আফনারা,You all
হারাইয়া,Lost
যাইতে,Go
দেবেন,Will give
আবার,Again
এখনও,Still
তবুও,Yet
এখনো,Still
ইকানেই,Right here
পিছনে,Behind
পূর্ব,East
পশ্চিম,West
দক্ষিণ,South
উত্তর,North
বিছনা,Bed
অয়,Yes
ধইন্যবাদ,Thank you
ফেব্রুয়ারী,February
এক,One
চিটাইঙ্গা,Chittagong (dialect)
তুমার ,Your
করছি,Doing
যাইরাম,Going
ঘরে,In the house
রাখিয়া,Keeping
কইন ,Saying
কও,Say
কবুতর,Pigeon
আছস,Are you (informal)
যাইবে,Will you go
দেওয়ার,To give
মাটির,Clay
কোন,When
এনডা,Egg
বাগানো,In the garden
দুয়ার,At the door
কুরানিত,Collecting
টেবিলের,On the table
নেওয়া ,Taking
মা'র,Mother’s
নেওয়ার,Taking
সবকিছু,Everything
সবকিছুর,Of everything
দোয়া,Prayer
দোয়ায়,In prayer
পেটর,Stomach
পেটর,In the stomach
জাগা,Place
জেগার,Of the place
টিকে,Remain
এইটার,Of this
আবার,Again
জেগার,In place
ফোনর,Phone’s
আইন,Comes
ধরছে,Has caught
আওনের,Coming
উঠবে,Will you get up
কুটুম/মেমান ,Guest
ফুরুস্কার,Prize
বিরক্ত,Annoyed
এর লাগি,Therefore
ফাল্লায়,In scales
ফালবো,Will survive
মিলিয়া,Together
বন্ধুত্ব ,Friendship
দেখাইয়া,Showing
মিলিয়া মিশিয়া ,In harmony
আই,Come
দেমাগি,Arrogant
দিমাক,Arrogance
দিমাকের,Of arrogance
উঠবে,Will rise
ষ্টিতে,On the seat
চিক্কার,Scream
ডাখতার,Doctor
কিতার,What’s
চড়মু,Observance
গতরো,On the body
হাত,Hand
থাখার,Of being
হাতেরটা,The one in hand
ঠেং,Foot
ঠেঙেরটা,The one on the foot
ঠেঙের,Foot’s
মিলানি,Matching
চালানির,Driving
কিসুতেই,In no way
দিলাই,By giving
মুড়াইয়া,Wrapping
বেটির,Woman’s
বেটি,Woman
চুফ,Quiet
সেকেন্ডে,In a second
গল্লাস,Glass
ছুরির,Of theft
জরিমানা,Fine
দুখ,Pain/sorrow
কষ্টে,In sorrow
ফুলকে,To the flower
খবর,News
ফুলের,Of flower
রঙ্গে,In color
নেয়,Takes
রঙ,Color
হাটাহাটি ,Pacing
খাতা,Quilt
মারমু ,Will hit
জমিন,Field
ফলের,Of fruit
রুজি করবে,Will earn
এখন,For now
বন্ধুকে,To the friend
ঘরে,In the house
রাখিয়া,Keeping
কিতার,Why
দিনের,Of the day
বন্দেগীতে*,In worship
নিজোর,Own
আফনি,You (formal)
ছেরা,Face
অইবো,Will be
মোরারে,Ours
চাটগাঁইয়া,From Chittagong
সংস্কৃতি,Culture
ইচ্ছা,Hope
করি,Doing
বইটি,The book
ফালাই যার,Escaping
মোরারে,Ours
ঐতিহ্যগুলোকে,Traditions
হারাই,Losing
যাইতে ,Going
উফাদান,Ingredient
আছইন,There is
শব,All
মোরারে,Ours
প্রজন্মের,Of the generation
পৌছে,To reach
দেয়ার লাগি,Will have to
অইবো,Doing
করি,Doing
সবচেয়ে ,The most
বড়,Big
উফাদান,Ingredient
ভাষাটা,The language
বৃষ্টি,Rain
অবাখ,Blackberry
বিরান করা,Fried
এরে,To him
দেখে,Seeing
করো,Do
হুদা,Meet
করমু,Will do
খাইয়া,Empty
তাড়াতাড়ি,Quickly
নেউক্কা,Eat
কাম অর,Take (formal)
হক্কল,All
কাম অর,Work’s
কাজী,Kazi (a surname)
তোমারে,You
দেখিয়া,Seeing
নিমু,Take
তার,His
করতাম,Used to do
 পুয়া ,Son
ঢাকা,Dhaka
মিস্তিরি,Mechanic
রঙ ,Color
মরে ,Dying
ডাক্তার ,Doctor
হসাই,Butcher
সমস্যায়,In hardship
বোধ,Feeling
অসহায়,Helpless
বাক্কা,Very
বনানীর,Making
ভিডিও ,Video
দরকার,Need
কিতার ,Doing
ওই ,Possible?
ইগু ,What is this
ঘুম,Sleep
 ঘুমাও,Sleeping
অত,So much
জরুরি,Urgent
অভ্যাস,Habit
খাওয়ায়,Eating
চা ,Tea
উঠাইয়া,Getting up
দুপুরবেলাত,At noon
বারইবায়,Outside
বারইবায়,Go out
রাত্রে,At night
আইছিল,Came
কইছলা,Said
 থিক ,Exactly
হেদিন ,That day
চাল্ল ,Will call
পরালেখা,Studying
হাসে ,Laughs
এখেবারেও হাসে না,Completely
রাজশাহীত,Rajshahi
লগে,With
সিলেট,Sylhet
ঢাকাত ,In Dhaka
শার্ট,Shirt
লাগের,Seems
বিদেশ,Abroad
বেয়াদপ ,Rude
যে,Extremely
হাটিয়া,Walking
যাইরো ,Going
ফুয়াগু ,The boy
দরজার,Door’s
ধারো,In front
চায়,Want
লৌকা,Take
টাটকা ,Ripe
বন্ধু,Friend
হাতি,Elephant
হাতিকে,To the elephant
রাখাল,Shepherd
দোয়েল,Magpie robin
হাছা ,Really
কৌকা,Say
উঠি ,Get up
যাইও,Go
স্কুল,To school
যাই,Go
খাইয়া,Feel
লাগে,Shortage
বিয়ামি ,Saw
খরাত,Bald
মুরা,Separate
আলেদা ,Rich
তোয়াঙ্গর,Sea banana
সাগর কলা,Affection
হুয়াগ,Palm
তাল,Type of
জাতর,Known
ফরিচিত,Shadow
ছেবা,Knows
জানো ,Knows
জানো,Caste
জাতর,Envy
হিউন্যা মি,Sweat
পছিনা,Progress
উন্নতি,Closed
বন্ধ ,Room
কোটা,Took
সারসিন,Bill
বিল ,Weaverbird
বাবুই ,Duck
হাঁস ,Swan
রাজহাঁস ,Swan
মাছরাঙ্গা ,Kingfisher
বনমোরগ ,Junglefowl
কাঠঠোকরা,Woodpecker
ন,No
কোনানো,Where?
ফেখ,Mud
ভাষা,Language
ভক্ত ,Devotee
দেওয়ন ,Given
বাবার,Father’s
ঠেঙের,Foot
কইন,Say
স্কুলো,School
হাছা,Really
যাইও ,Go
উঠি,Get up
নাস্তা,Breakfast
লাগে ,Need
গেছি,Went
হারি ,Lost
গেছিলাম,Lost
খাইছিল?,Ate?
আম ওগু ,Mango
হারি,Lost
ঠিক,Right
করো,Do
বিশ্বাস,Belief
মাত,Question’s
জবাব,Answer
গেছিলাম,Studied
অসুস্থ ,Sick
ওই,Became
পেলাম,Got
করুন,Please
উবাউকা,Wait
নে,Will wait
দাড়াইলা ,Stood
উঠিয়া,Got up
লম্বা ,Tall
চাইয়ার,Wanting
মাফ,Forgiveness
আইছি,Came
ফিরিয়া,Back
কেক,Cake
যাও,Take
ঘুমাই,Sleeping
আচলাম,Was
একলা,Alone
থাকৌকা ,Come
লগে,With
গেছলা,Went
রাগী,Angry
ধরক্কা,Suppose
অবাক,Surprised
আইতাম,Will come
হারতাম,Will lose
বেদনা,Pain
লাল,Red
সবুজ ,Green
কালো ,Black
সাদা,White
নীল ,Blue
