lp,src,mt,ref,score,raw,annotators,domain,year
bn-en,তোমার নাম লেখি দিলাইছি,Your name is written .,I have written your name,71.69639918359026,80.0,1,text book,2025
bn-en,"না ও কইস, অয় ও কইস","No, where is he?","Say either ""no"" or ""yes.""",33.90672356801115,7.5,1,text book,2025
bn-en,আমি জানি তুমি আইছো,I know you're coming.,I know you came,71.69639918359026,80.0,1,text book,2025
bn-en,তুমি কালকে আইও,You come tomorrow .,You come tomorrow,82.12113728443965,100.0,1,text book,2025
bn-en,আমি জানতাম তুমি আইবায়,I knew you were coming .,I know you came,78.21186049662113,92.5,1,text book,2025
bn-en,সিটি কপোরেশন অফিশ আছে,There's a city corporation office.,There is a city corporation office,82.12113728443965,100.0,1,text book,2025
bn-en,বউত সমস্যায় আছি,My wife is in trouble .,I am in a lot of trouble,59.968568820134664,57.5,1,text book,2025
bn-en,আমি হাছাউ বাক্কা অসহায় বোধ করিয়ার,I'm going to make you feel helpless.,I feel really helpless,49.283212266764025,37.0,1,text book,2025
bn-en,আমি বাক্কা অসহায় বোধ করিয়ার,I feel helpless.,I feel so helpless,78.21186049662113,92.5,1,text book,2025
bn-en,বাক্কা অসহায় বোধ করিয়ার,I feel helpless .,I feel very helpless,78.21186049662113,92.5,1,text book,2025
bn-en,অসহায় বোধ করিয়ার,I feel helpless .,I feel helpless,79.5149527592273,95.0,1,text book,2025
bn-en,আমি হাছাউ বাক্কা অসহায়,I'm a helpless little bugger.,I am really very helpless,54.75619976970996,47.5,1,text book,2025
bn-en,ভিডিও বনানির কিতা দরকার আছিল?,You need a video forestry book?,What was the need to make the video?,44.331461668860555,27.5,1,text book,2025
bn-en,বনানির কিতা দরকার আছিল?,Did you need the forestry book?,What was the need to make?,35.20981583061733,10.0,1,text book,2025
bn-en,আমারে রিং দে,Give me the ring .,Call me,40.422184881042035,20.0,1,text book,2025
bn-en,সিলেট থাকি আমার লগে দেখা করাত আইছিল,I was going to stay silent and come to see me.,Came to meet me from Sylhet,44.331461668860555,27.5,1,text book,2025
bn-en,আমার লগে দেখা করাত আইছিল,She was coming to see me.,Came to meet me,65.18093787055936,67.5,1,text book,2025
bn-en,হে সিলেট থাকি আমার লগে দেখা করাত আইছিল,"Hey, stay silent. I was coming to see you.",He came to meet me from Sylhet,46.937646194072904,32.5,1,text book,2025
bn-en,সিলেট থাকি ঢাকাত আইছে,I'm staying in Dhaka.,Came from Sylhet to Dhaka,54.75619976970996,47.5,1,text book,2025
bn-en,ছইবায় না,I 'm not .,Do not touch,42.767750953733156,24.5,1,text book,2025
bn-en,হই গেছি,I 'm going .,I am done,44.331461668860555,27.5,1,text book,2025
bn-en,মূল মাতো আও,The mother of the bride,Come to the point,29.99744678019263,0.0,1,text book,2025
bn-en,আমি ভাত খাইতাম নায় ঘুষা করছি,I used to eat rice and I'm not a snake.,I will not eat rice because I am angry,40.422184881042035,20.0,1,text book,2025
bn-en,আফনে আমারে ছাড়িয়া যাইবা গি,"If you leave me, you'll go away.",You will leave me,56.059292032316144,50.0,1,text book,2025
bn-en,বিয়া অইছিল বাক্কা বছর আগে,The wedding was a couple years ago.,The marriage was many years ago.,75.60567597140879,87.5,1,text book,2025
bn-en,যাওনারে মাত নাই,Go to my mother .,"Go, no more talk",43.02836940625439,25.0,1,text book,2025
bn-en,চিন্তা করিয়ার কিচ্ছু একটা করমু,Think of something you can do.,I'm thinking of doing something,56.059292032316144,50.0,1,text book,2025
bn-en,ইটা ভালা অইবো তল্লাইজ্ঞা,It's good to be on the road.,It will be good for you,40.682803333563264,20.5,1,text book,2025
bn-en,বারিত আওয়ার সময় অই গেছে,The time has come.,It's time to come home,54.75619976970996,47.5,1,text book,2025
bn-en,সে খাওয়া থামাইয়া কইছে,She stopped eating .,He stopped eating and said,58.6654765575285,55.0,1,text book,2025
bn-en,খাওয়াত গেছিল,I was eaten.,Went to eat,35.20981583061733,10.0,1,text book,2025
bn-en,মাত না মাতিয়া খাওয়াত মন দে,"Mother , I 'm not going to eat you .",Focus on eating instead of talking,32.60363130540498,5.0,1,text book,2025
bn-en,খাওয়া শেষ কইরা তার অবায় গেল,Eat where his father left off .,"After finishing eating, he went towards him.",32.60363130540498,5.0,1,text book,2025
bn-en,দেইক্ষা ছোক গেছিল,I saw you touch me.,His eyes were drawn upon seeing it.,30.77930213775633,1.5,1,text book,2025
bn-en,শুন্দর কিচ্ছু অইতে পারে,I'm not sure what's going on.,It might be something beautiful.,37.03414499826598,13.5,1,text book,2025
bn-en,আমার ছোডভাই বিয়া করি লাইসে,My brother is getting married in my house.,My younger brother has gotten married.,61.27166108274085,60.0,1,text book,2025
bn-en,মাতাত ঘিলু নাই,Mother is not here .,I can’t come up with any ideas.,32.60363130540498,5.0,1,text book,2025
bn-en,ডিম দেওয়া বন্ধ করি লইছে,The egg has stopped giving.,Stopped laying eggs.,48.24073845667909,35.0,1,text book,2025
bn-en,হগলরে কইছি,What did I say ?,Everyone has been informed.,38.85847416591462,17.0,1,text book,2025
bn-en,কইছি,Where are you ?,Has been said.,32.60363130540498,5.0,1,text book,2025
bn-en,আমার ইতা করা লাগব,I need to do it.,You need to do this.,72.99949144619643,82.5,1,text book,2025
bn-en,করা লাগব,I need to,It needs to be done.,54.75619976970996,47.5,1,text book,2025
bn-en,আইওইস,Ioiis,You come,29.99744678019263,0.0,1,text book,2025
bn-en,আমি তারে কইলাম ইতা করিয়ো না,I told her not to do it .,"I told him, don't do this.",70.39330692098407,77.5,1,text book,2025
bn-en,আমি তারে কইলাম,I told him .,I told him.,82.12113728443965,100.0,1,text book,2025
bn-en,ওটা করিও না,Don't do that,Don't do this.,79.5149527592273,95.0,1,text book,2025
bn-en,কিতা দরকার আছিল?,What did you need?,What was the need?,79.5149527592273,95.0,1,text book,2025
bn-en,দরকার আছিল?,Did you need it?,Was there a need?,72.99949144619643,82.5,1,text book,2025
bn-en,বানানির কিতা দরকার ?,You need a spelling book ?,What’s the need to make it?,37.81600035582968,15.0,1,text book,2025
bn-en,ইতা করের কিতার লাগি বিয়া বইয়া?,It's a book about marriage.,Why are you doing all this after getting married,35.731052735659794,11.0,1,text book,2025
bn-en,কিতার লাগি বিয়া বইয়া?,What do you need a marriage book for?,Why get married,35.20981583061733,10.0,1,text book,2025
bn-en,ইতা করের,It 's a tax .,Doing all this,29.99744678019263,0.0,1,text book,2025
bn-en,ইগু কিলা ওয়,I'm going to kill you.,How is this possible?,29.99744678019263,0.0,1,text book,2025
bn-en,ইগু কিলা ওয়,I'm going to kill you.,How is it possible?,43.02836940625439,25.0,1,text book,2025
bn-en,তুমিতাইন ওর অত ঘুম আয় কিওর লাগি,You must have been sleeping too much .,Why do you sleep so much?,49.54383071928526,37.5,1,text book,2025
bn-en,তুমিতাইন ওর ঘুম আয় কিওর লাগি,You must have been sleeping .,Why do you sleep?,46.937646194072904,32.5,1,text book,2025
bn-en,ঘুম আয় কিওর লাগি,Sleeping is what I like .,Why are you sleeping?,35.731052735659794,11.0,1,text book,2025
bn-en,অত ঘুম আয় কিওর লাগি,I'm sleeping too much.,Why do you sleep so much?,39.379711070957086,18.0,1,text book,2025
bn-en,তুমিতাইন ঘুমাও,You must sleep .,You sleep.,63.8778456079532,65.0,1,text book,2025
bn-en,তোমার কাজ-খাম নাই,You have no work .,Don’t you have any work?,72.99949144619643,82.5,1,text book,2025
bn-en,মাথ ঠিক আছেনি,He 's not well .,Is your mind okay,63.8778456079532,65.0,1,text book,2025
bn-en,কান লাল করমু তর,Can you red hair ?,I will turn your ears red,32.60363130540498,5.0,1,text book,2025
bn-en,আমি সমস্যাত আছি,I 'm in trouble .,I am in pain.,76.90876823401496,90.0,1,text book,2025
bn-en,সমস্যাত আছি,I 'm in trouble .,I’m in pain.,76.90876823401496,90.0,1,text book,2025
bn-en,তুমিতাইন ওর লগে আমার জরুরি মাত আছে,You must be with him . I have an emergency .,I have something urgent to discuss with you.,43.28898785877562,25.5,1,text book,2025
bn-en,তুমিতাইন ওর লগে আমার মাত আছে,You're with him.,I have something to discuss with you.,35.731052735659794,11.0,1,text book,2025
bn-en,আমার জরুরি মাত আছে,I have an emergency .,I have something urgent to say.,58.6654765575285,55.0,1,text book,2025
bn-en,জরুরি মাত আছে,There 's an emergency .,There’s something urgent.,66.48403013316555,70.0,1,text book,2025
bn-en,মাত আছে,Mother has,I have something to say.,32.60363130540498,5.0,1,text book,2025
bn-en,আমার সোকাইলকু উঠিয়া চা খাওয়ার অভ্যাস,My son is always up and drinking tea.,I have a habit of drinking tea right after waking up in the morning.,39.11909261843585,17.5,1,text book,2025
bn-en,সোকাইলকু উঠিয়া চা খাওয়ায় অভ্যাস,Sookilku got up and ate tea.,The habit of drinking tea right after waking up in the morning.,34.16734202053238,8.0,1,text book,2025
bn-en,চা খাওয়ায় অভ্যাস,Tea eating habits,The habit of drinking tea.,52.15001524449761,42.5,1,text book,2025
bn-en,তুমিতাইন দুপুরবেলাত কিতা খাইলায়?,You ate a book at noon?,What did you eat for lunch?,36.5129080932235,12.5,1,text book,2025
bn-en,দুপুরবেলাত কিতা খাইলায়?,Did you eat at midnight?,What did you eat for lunch?,45.63455393146674,30.0,1,text book,2025
bn-en,তুমিতাইন কিতা রাত্রে বারইবায় নি?,You're not going to sleep in the night?,Will you go out at night?,43.02836940625439,25.0,1,text book,2025
bn-en,রাত্রে বারইবায় নি?,Did you sleep in?,Will you go out at night?,35.20981583061733,10.0,1,text book,2025
bn-en,বারইবায় নি?,- What's the matter?,Will you go out?,36.5129080932235,12.5,1,text book,2025
bn-en,তুমিতাইন কিতা বারইবায় নি?,You're not going to write a book?,Will you go out?,32.60363130540498,5.0,1,text book,2025
bn-en,ইবায় নি?,I'm not dead?,This way?,29.99744678019263,0.0,1,text book,2025
bn-en,আফনার লগে মাত্তে বাক্কা ভালা লাগে আমার,I like to talk with Afghani.,I really enjoy talking to you.,38.33723726087215,16.0,1,text book,2025
bn-en,মাত্তে বাক্কা ভালা লাগে আমার,I like my mother.,I really enjoy talking.,36.5129080932235,12.5,1,text book,2025
bn-en,ভালা লাগে আমার,I like it .,I really enjoy it.,72.99949144619643,82.5,1,text book,2025
bn-en,রং করতে পারবে নি রে,You can't paint.,Can you do the coloring?,44.331461668860555,27.5,1,text book,2025
bn-en,কাজ করতাম কিলাখান,I used to work in a slaughterhouse .,How will I do the work?,36.5129080932235,12.5,1,text book,2025
bn-en,আমি বউত সমস্যায় আছি,I'm in trouble with my wife.,I am in a lot of pain.,39.11909261843585,17.5,1,text book,2025
bn-en,মাত্তে বাক্কা ভালা লাগে,I like the sound of that.,I enjoy talking.,44.331461668860555,27.5,1,text book,2025
bn-en,বাক্কা ভালা লাগে,It's good.,Feels very good,70.39330692098407,77.5,1,text book,2025
bn-en,আফনার লগে মাত্তে বাক্কা ভাাল্লাগে,Afna is going to be a big hit with me .,I enjoy talking to you a lot,32.60363130540498,5.0,1,text book,2025
bn-en,খেলবে নি আমার পুড়ির লগে,Don 't play with my pussy .,Will you play with my daughter?,36.5129080932235,12.5,1,text book,2025
bn-en,আমার ওখন তোমারে ভালা লাগে,I like you when you're,I like you now.,57.362384294922315,52.5,1,text book,2025
bn-en,আমরার মাত বুঝরে তুই,Amara's mother understands you,Do you understand what I’m saying?,29.99744678019263,0.0,1,text book,2025
bn-en,হাছারে বা আমার গাও জ্বর,Haçare or benim gao জ্বর,I swear I have a fever.,29.99744678019263,0.0,1,text book,2025
bn-en,তোমরারে আমরা দেইক্কা নিমু,We'll give you a break.,We will deal with you.,36.5129080932235,12.5,1,text book,2025
bn-en,তুমিতাইন দুপুরবেলাত কিতা দিয়া ভাত খাইলায়?,You're going to eat lunch in the middle of the night?,What did you eat with rice for lunch?,37.81600035582968,15.0,1,text book,2025
bn-en,দুপুরবেলাত কিতা দিয়া ভাত খাইলায়?,Do you eat lunch at noon?,What did you eat with rice for lunch?,43.81022476381809,26.5,1,text book,2025
bn-en,দুপুরবেলাত কিতা খাইলায়?,Did you eat at midnight?,What did you eat for lunch?,36.5129080932235,12.5,1,text book,2025
bn-en,কিতা দিয়া ভাত খাইলায়?,What's the matter?,With what did you have rice?,35.20981583061733,10.0,1,text book,2025
bn-en,সব তাকি কাছ ওর মানুষ,All eyes on her people,The closest person.,32.60363130540498,5.0,1,text book,2025
bn-en,বাক্কা ভালা লাগে,It's good.,Like it a lot.,71.69639918359026,80.0,1,text book,2025
bn-en,ভালা লাগে,I like it .,Like it.,80.55742656931226,97.0,1,text book,2025
bn-en,মাত্তে বাক্কা ভালা লাগে,I like the sound of that.,I really enjoy talking.,46.937646194072904,32.5,1,text book,2025
bn-en,আমি তুমারে কল দিতাম নায়,I wouldn't call you.,I won’t call you.,78.21186049662113,92.5,1,text book,2025
bn-en,তুমারে কল  দিতাম নায়,You call me.,I won’t call you.,52.15001524449761,42.5,1,text book,2025
bn-en,আমি তুমারে কল দিতাম,I'd call you.,I will call you.,76.90876823401496,90.0,1,text book,2025
bn-en,তুমারে কল দিতাম,I'd have called you.,I will call you.,69.09021465837789,75.0,1,text book,2025
bn-en,কল নায়,Call me .,Won’t call.,46.937646194072904,32.5,1,text book,2025
bn-en,তুমিতাইন অত ঘুমাও কিতার লাগি?,You're sleeping too much?,Why do you feel so sleepy?,57.362384294922315,52.5,1,text book,2025
bn-en,তুমিতাইন ঘুমাও কিতার লাগি?,You need a book to sleep in?,Why do you feel sleepy?,39.11909261843585,17.5,1,text book,2025
bn-en,অত ঘুমাও কিতার লাগি?,How much sleep do you need?,Why do you feel so sleepy?,46.937646194072904,32.5,1,text book,2025
bn-en,ঘুমাও কিতার লাগি?,Do you need a sleeping book?,Why do you feel sleepy?,37.81600035582968,15.0,1,text book,2025
bn-en,তুমিতাইন অত ঘুমাও কিতার লাগি?,You're sleeping too much?,Why are you so sleepy?,56.059292032316144,50.0,1,text book,2025
bn-en,ফুয়াটায় এখটা সাদা রঙ্গের শার্ট ফিন্দিয়া আইছিল,There was a white shirt in the window.,The boy came wearing a white shirt.,43.02836940625439,25.0,1,text book,2025
bn-en,হে এখন রাজশাহীত গেছে গিয়া,Hey now Rajshahit has gone,He has now gone to Rajshahi.,43.02836940625439,25.0,1,text book,2025
bn-en,হে এখেবারেও হাসে না,He never smiles .,He doesn’t laugh at all.,76.90876823401496,90.0,1,text book,2025
bn-en,হে হাসে না,He is not laughing .,He doesn’t laugh.,67.78712239577173,72.5,1,text book,2025
bn-en,হে হাসে,He smiles .,He laughs.,79.5149527592273,95.0,1,text book,2025
bn-en,হাসে না,Laughter .,Doesn’t laugh.,44.331461668860555,27.5,1,text book,2025
bn-en,এখেবারেও হাসে না,I never laughed .,Doesn’t laugh at all.,48.24073845667909,35.0,1,text book,2025
bn-en,হে রাজশাহীত গেছে গিয়া,"Hey, the prince is gone.",He has gone to Rajshahi.,43.02836940625439,25.0,1,text book,2025
bn-en,রাজশাহীত গেছে গিয়া,Rajshahi is gone.,Has gone to Rajshahi.,43.02836940625439,25.0,1,text book,2025
bn-en,গেছে গিয়া,He 's gone .,Has gone.,53.453107507103795,45.0,1,text book,2025
bn-en,হে এখন রাজশাহীত,"Hey, now you're in the kingdom.",He is now in Rajshahi.,46.937646194072904,32.5,1,text book,2025
bn-en,আফনার সব তাকি কাছ ওর মানুষ কে?,Who are all the Afghans looking at?,Who is your closest person?,32.60363130540498,5.0,1,text book,2025
bn-en,আফনার কাছ ওর মানুষ কে?,Who are the Afghans?,Who is your close person?,35.20981583061733,10.0,1,text book,2025
bn-en,কাছ ওর মানুষ কে?,Who's his man?,Who is the close person?,41.725277143648206,22.5,1,text book,2025
bn-en,মানুষ কে?,Who is this man?,Who is the person?,66.48403013316555,70.0,1,text book,2025
bn-en,ঢাকাত আইছে,Dhaka is coming,Has come to Dhaka.,50.846922981891446,40.0,1,text book,2025
bn-en,ফুয়াটায় ঢাকাত আইছে,Fuyatay Dhakaat is coming,The boy has come to Dhaka.,40.422184881042035,20.0,1,text book,2025
bn-en,ফুয়াটায় ঢাকাত আইছে,Fuyatay Dhakaat is coming,From Sylhet to Dhaka.,39.11909261843585,17.5,1,text book,2025
bn-en,সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,I was wearing a white shirt .,Came wearing a white shirt.,50.846922981891446,40.0,1,text book,2025
bn-en,এখটা সাদা রঙ্গের শার্ট,It's a white shirt.,A white shirt.,70.39330692098407,77.5,1,text book,2025
bn-en,সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,I was wearing a white shirt .,Came wearing a white shirt.,49.54383071928526,37.5,1,text book,2025
bn-en,সাদা রঙ্গের শার্ট,White shirt,White shirt.,82.12113728443965,100.0,1,text book,2025
bn-en,শার্ট ফিন্দিয়া আইছিল,The shirt was in the Indian .,Came wearing a shirt.,38.33723726087215,16.0,1,text book,2025
bn-en,ফিন্দিয়া আইছিল,I was in Finland.,Came wearing.,32.60363130540498,5.0,1,text book,2025
bn-en,আমার বউত খারাফ লাগের,My wife is in trouble .,I feel very bad.,36.5129080932235,12.5,1,text book,2025
bn-en,আমার খারাফ লাগের,My face is like a mirror,I feel bad.,32.60363130540498,5.0,1,text book,2025
bn-en,বউত খারাফ লাগের,The wife of the late,Feeling very bad.,32.60363130540498,5.0,1,text book,2025
bn-en,খারাফ লাগের,- What ?,Feeling bad.,29.99744678019263,0.0,1,text book,2025
bn-en,তুমি কোন স্কুলো পড়ো,You're not going to school.,Which school do you study in?,37.81600035582968,15.0,1,text book,2025
bn-en,কোন স্কুলো পড়ো,No school .,Which school do you study?,35.20981583061733,10.0,1,text book,2025
bn-en,আমরার বাড়ি চাঁদপুর,Amara's house in Chandpur,Our home is in Chandpur.,41.725277143648206,22.5,1,text book,2025
bn-en,আমরার বাড়ি যশোর,Amara's house is Yashoor.,Our home is in Jessore.,41.725277143648206,22.5,1,text book,2025
bn-en,তুমি কই যাও,Where are you going ?,Where are you going?,82.12113728443965,100.0,1,text book,2025
bn-en,কই যাও,Where are you going ?,Where are you going?,82.12113728443965,100.0,1,text book,2025
bn-en,তার বই পর্তে একেবারে অউ ভালা লাগে না,I don't like her books at all.,He doesn’t like studying at all.,43.02836940625439,25.0,1,text book,2025
bn-en,আফ্নার কিতা পরালেখা কর্তে এখদম ভালা লাগে নানি?,Doesn't it feel so good to write a book?,Do you not like studying at all?,32.60363130540498,5.0,1,text book,2025
bn-en,পরালেখা কর্তে এখদম ভালা লাগে নানি?,Do you like writing so much?,Don’t like studying at all?,35.20981583061733,10.0,1,text book,2025
bn-en,আফ্নার কিতা পরালেখা ভালা লাগে নানি?,Do you like to write a book about Afghanistan?,Don’t you like studying?,32.60363130540498,5.0,1,text book,2025
bn-en,আফ্নার কিতা পরালেখা ভালা লাগে?,Do you like to write a book about Afghanistan?,Do you like studying?,32.60363130540498,5.0,1,text book,2025
bn-en,ভালা লাগে নানি?,"Do you like it, Nana?",Don’t like?,46.41640928903044,31.5,1,text book,2025
bn-en,আমি কামো যাইতাম ছাই,I would have come .,I want to go to work.,39.11909261843585,17.5,1,text book,2025
bn-en,কামো যাইতাম ছাইয়ার না,"Come on , we 're going to the beach .",Don’t want to go to work.,32.60363130540498,5.0,1,text book,2025
bn-en,যাইতাম ছায়না,I went to the movies .,Don’t want to go.,37.81600035582968,15.0,1,text book,2025
bn-en,ছায়না,- What ?,Don’t want.,32.60363130540498,5.0,1,text book,2025
bn-en,কামো যাইতাম ছায়,"Come on , we 're going to the shade .",Want to go to work.,29.99744678019263,0.0,1,text book,2025
bn-en,যাইতাম ছায়,I'd go to the shade.,Want to go.,33.90672356801115,7.5,1,text book,2025
bn-en,আফনে ওউ কলম ওগু লৌকা,I'm not a pen and ink man.,Take this pen.,32.60363130540498,5.0,1,text book,2025
bn-en,ওউ কলম ওগু লৌকা,"Oh , my God .",Take this pen.,35.20981583061733,10.0,1,text book,2025
bn-en,কলম ওগু লৌকা,Pen and pencil,Take the pen.,35.99167118818104,11.5,1,text book,2025
bn-en,আফনে কলম ওগু লৌকা,Afne pen oggu লৌকা is a very good book.,Take the pen.,32.60363130540498,5.0,1,text book,2025
bn-en,তুমি যাইবায়,You go away,You wil go,45.63455393146674,30.0,1,text book,2025
bn-en,"ফুরুত্তায় কান্দের, খানি খাওয়াও",I'm going to eat.,"The baby is crying, feed him.",35.20981583061733,10.0,1,text book,2025
bn-en,নিজর থাখার জাগা নাই আবার আরকজনরে ফালার দায়িত্ব নিসে,Nizar Thachar is not in charge of speaking to anyone else.,"Has no place of his own, yet took responsibility for someone else.",29.99744678019263,0.0,1,text book,2025
bn-en,আমারে হাছা কথা কৌকা,I have a funny thing to say.,Tell me the truth.,37.81600035582968,15.0,1,text book,2025
bn-en,হাছা কথা কৌকা,It 's a joke .,Tell the truth.,37.81600035582968,15.0,1,text book,2025
bn-en,কথা কৌকা,Talk about a joke.,Speak.,37.81600035582968,15.0,1,text book,2025
bn-en,আমারে হাছা কৌকা,I have a laughingstock .,Tell me the truth.,32.60363130540498,5.0,1,text book,2025
bn-en,হাছা কৌকা,It 's a joke .,Tell the truth.,32.60363130540498,5.0,1,text book,2025
bn-en,ফুরুত্তা কান্দের,The man of my dreams,The baby is crying.,29.99744678019263,0.0,1,text book,2025
bn-en,খানি খাওয়াও,Eat some food.,Feed him.,43.02836940625439,25.0,1,text book,2025
bn-en,তুমিতাইন ঘুম তনে জলদি উঠি যাইও,You must sleep now.,You get up early in the morning.,44.331461668860555,27.5,1,text book,2025
bn-en,ঘুম তনে জলদি উঠি যাইও,"Sleep now , get up and go .",Get up early in the morning.,53.453107507103795,45.0,1,text book,2025
bn-en,জলদি উঠি যাইও,Hurry up and go.,Get up early.,50.846922981891446,40.0,1,text book,2025
bn-en,উঠি যাইও,Get up and go .,Get up.,63.8778456079532,65.0,1,text book,2025
bn-en,তুমিতাইন জলদি উঠি যাইও,You must hurry up and go.,You get up early.,61.27166108274085,60.0,1,text book,2025
bn-en,আমি সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই,I eat breakfast and go to school.,I have breakfast and go to school in the morning.,70.39330692098407,77.5,1,text book,2025
bn-en,সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই,Sockilocu ate breakfast and went to school.,I have breakfast and go to school in the morning.,53.453107507103795,45.0,1,text book,2025
bn-en,নাস্তা খাইয়া বাদে স্কুল ও যাই,I'm not going to school without breakfast.,After having breakfast I go to school.,54.75619976970996,47.5,1,text book,2025
bn-en,স্কুল ও যাই,Go to school .,Go to school.,72.99949144619643,82.5,1,text book,2025
bn-en,আমি নাস্তা খাইয়া বাদে স্কুল ও যাই,I go to school without eating breakfast,I have breakfast and go to school.,46.937646194072904,32.5,1,text book,2025
bn-en,আমার সকালকু কুন্তা খাইতে ভালা লাগে না,I don't like to eat my breakfast buns.,I don’t feel like eating anything in the morning.,56.059292032316144,50.0,1,text book,2025
bn-en,সকালকু কুন্তা খাইতে ভালা লাগে না,It's not good to eat morning snacks.,I don’t feel like eating anything in the morning.,48.24073845667909,35.0,1,text book,2025
bn-en,কুন্তা  খাইতে ভালা লাগে না,I don't like to eat shit.,Don’t feel like eating anything.,43.02836940625439,25.0,1,text book,2025
bn-en,খাইতে ভালা লাগে না,It doesn't taste good to eat.,Don’t feel like eating.,57.362384294922315,52.5,1,text book,2025
bn-en,ভালা লাগে না,It doesn't feel good.,Don’t feel like it.,76.90876823401496,90.0,1,text book,2025
bn-en,লাগে না,I don't think so,Don’t like it.,75.60567597140879,87.5,1,text book,2025
bn-en,আমার কুন্তা খাইতে ভালা লাগে,I like to eat my cunt .,I don’t feel like eating anything.,58.6654765575285,55.0,1,text book,2025
bn-en,আমার কুন্তা খাইতে ভালা লাগে,I like to eat my cunt .,I don’t feel like eating.,37.81600035582968,15.0,1,text book,2025
bn-en,আমার কুন্তা ভালা লাগে,I like my cunt .,I don’t like anything.,37.81600035582968,15.0,1,text book,2025
bn-en,আমার খাইতে ভালা লাগে,I like to eat .,I don’t like it.,66.48403013316555,70.0,1,text book,2025
